(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrCl_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1424.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1438.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrI_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1452.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbClII_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1466.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClCl_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1480.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1494.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrBr_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1508.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrI_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1522.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrCl_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1536.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrClI_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1550.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrBr_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1564.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1578.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrCl_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1592.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbClII_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1606.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrI_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1620.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1634.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1648.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1662.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrClCl_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1676.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClI_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1690.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1704.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1718.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1732.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrClCl_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1746.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1760.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrII_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1774.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrII_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1788.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrI_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1802.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrCl_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1816.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1830.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrClI_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1844.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrCl_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1858.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1872.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClI_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1886.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClCl_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1900.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrClCl_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1914.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrCl_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1928.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1942.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClCl_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1956.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbClClI_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1970.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClII_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1984.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrClI_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1998.00, Rho = 0.165
