(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 472.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 478.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 484.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 490.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 496.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 502.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 508.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 514.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 520.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 526.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 532.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 538.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_NM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 544.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 550.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 556.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 562.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 568.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 574.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbIII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 580.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 586.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 592.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 598.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 604.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 610.00, Rho = 0.373
(iter 110) CsPbBrClI_DMA_0 = 12.9686, sampling CsPbBrBrI_DMA_0. Recommendation = CsPbBrClI_DMA_0, Current Cost = 616.00, Rho = 0.373
