(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClCl_IPA_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 408.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClCl_NM_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 414.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClCl_ACE_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 420.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClCl_MCR_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 426.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClCl_H2O_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 432.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbBrClCl_DMSO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 438.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClI_DMSO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 444.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrClCl_DMSO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 450.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClI_DMSO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 456.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClI_DMSO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 462.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 468.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 474.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClI_DMA_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 480.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 486.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClClI_IPA_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 492.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbBrClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 498.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 504.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClCl_ETH_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 510.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 516.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrClI_DMSO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 522.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClI_DMA_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 528.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClI_FAM_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 534.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClI_GBL_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 540.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClI_DMF_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 546.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClI_NMP_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 552.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClI_CH3OH_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 558.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbBrClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 564.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbBrClI_DMSO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 570.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClI_FAM_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 576.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClI_DMF_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 582.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClI_GBL_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 588.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClI_NM_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 594.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClI_NMP_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 600.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClI_CH3OH_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 606.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClI_H2O_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 612.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClI_NM_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 618.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClI_ACE_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 624.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClI_FAM_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 630.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClClI_CHCl3_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 636.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClCl_PYR_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 642.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClI_DMA_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 648.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbBrClI_FAM_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 654.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbBrClI_DMA_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 660.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrClI_FAM_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 666.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClI_ACE_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 672.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClI_DMF_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 678.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClI_GBL_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 684.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrClI_DMA_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 690.00, Rho = -1.230
(iter 115) CsPbBrClI_DMA_0 = 12.9686, sampling CsPbBrClI_DMF_0. Recommendation = CsPbBrClI_DMA_0, Current Cost = 696.00, Rho = -1.230
