(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 576.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 582.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 588.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 594.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 600.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 606.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 612.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 618.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 624.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbIII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 630.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 636.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 642.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrBr_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 648.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbIII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 654.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 660.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 666.00, Rho = -1.230
