(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 748.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbIII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 754.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 760.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_CHCl3_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 766.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 772.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrII_ACE_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 778.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 784.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 790.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_DMF_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 796.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 802.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbIII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 808.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbIII_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 814.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 820.00, Rho = 0.172
(iter 145) CsPbBrClI_DMA_0 = 12.9686, sampling CsPbBrClI_DMF_0. Recommendation = CsPbBrClI_DMA_0, Current Cost = 826.00, Rho = 0.172
