(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClI_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 396.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbIII_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 402.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrI_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 408.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClII_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 414.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbIII_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 420.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_IPA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 426.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_NM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 432.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_H2O_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 438.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 444.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 450.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 456.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_H2O_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 462.00, Rho = -1.230
