(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 826.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrBrI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 840.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_NM_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 854.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 868.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrBrBr_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 882.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbClClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 896.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrBrCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 910.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_MCR_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 924.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbClII_MCR_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 938.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 952.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrBrBr_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 966.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 980.00, Rho = -1.230
(iter 70) MAPbIII_THTO_0 = 29.1326, sampling CsPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 994.00, Rho = -1.230
