(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbClClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 546.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrI_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 560.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbClII_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 574.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 588.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrII_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 602.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClII_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 616.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrClI_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 630.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrI_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 644.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrBr_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 658.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClI_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 672.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbIII_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 686.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbClClI_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 700.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrBr_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 714.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClClI_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 728.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrCl_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 742.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 756.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 770.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 784.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 798.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 812.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbClII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 826.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 840.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 854.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 868.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClClI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 882.00, Rho = -1.230
