(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling FAPbBrBrBr_DMF_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 854.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling CsPbBrBrCl_MCR_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 868.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling FAPbBrBrCl_DMF_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 882.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling FAPbBrBrI_ACE_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 896.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrCl_NM_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 910.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling CsPbBrBrBr_GBL_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 924.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling FAPbBrBrBr_MCR_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 938.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbClClI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 952.00, Rho = -1.230
(iter 68) MAPbClClI_THTO_0 = 28.3653, sampling MAPbClII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 966.00, Rho = -1.230
(iter 68) MAPbClClI_THTO_0 = 28.3653, sampling CsPbClClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 980.00, Rho = -1.230
(iter 68) MAPbClClI_THTO_0 = 28.3653, sampling CsPbClII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 994.00, Rho = -1.230
(iter 68) MAPbClClI_THTO_0 = 28.3653, sampling MAPbBrClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1008.00, Rho = -1.230
(iter 68) MAPbClClI_THTO_0 = 28.3653, sampling MAPbBrII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1022.00, Rho = -1.230
(iter 73) MAPbBrII_THTO_0 = 28.7835, sampling MAPbIII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 1036.00, Rho = -1.230
(iter 74) MAPbIII_THTO_0 = 29.1326, sampling MAPbClII_DMSO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1050.00, Rho = -1.230
